,ggroup,conm,tic,2020 Return,beta,alpha,2021 Return
94,4010,FLUSHING FINANCIAL CORP,FFIC,-0.17586759758545795,0.9609888960581404,-0.0727444461572042,0.5520062716175151
95,4010,FIRST FINL BANKSHARES INC,FFIN,0.048676941550554124,0.8854969069088365,0.1424461149126021,0.446282301989055
96,4010,FIRST FINANCIAL NORTHWEST,FFNW,-0.20706577740691146,0.8556980227672252,-0.11698889129016002,0.46657084840502544
97,4010,FIRST FOUNDATION INC,FFWM,0.1818013730823323,1.0199426765815764,0.29222930447664974,0.2864036967227495
98,4010,FIRST GUARANTY BANCSHARES,FGBI,-0.16188398465968978,1.047340738155849,-0.048061244492809185,0.3346693364244565
99,4010,FIRST HAWAIIAN INC,FHB,-0.13478203125300997,0.9921649027885759,-0.02779595759374137,0.1859484263432545
100,4010,FIRST INTERSTATE BANCSYSTEM,FIBK,0.03666992295203773,0.8880791039336288,0.1307590483328987,0.04533305937206821
101,4010,FINANCIAL INSTITUTIONS INC,FISI,-0.26445742495818975,1.227427234393582,-0.1283207259883951,0.47325041194984063
102,4010,FIFTH THIRD BANCORP,FITB,-0.06278890947698103,1.3129567592832845,0.0839454874584746,0.6467401053126147
103,4010,FIRST LONG ISLAND CORP,FLIC,-0.24944271520971084,0.9104843679454164,-0.15257742310579114,0.27722734679849503
104,4010,FARMERS & MERCHANTS BCP/OH,FMAO,-0.21825956373233554,1.0579721447134351,-0.10311951897627664,0.4631381128430299
105,4010,FIRST MID BANCSHARES INC,FMBH,-0.009989009809372376,0.9466812011708312,0.0913613195530968,0.28654565790745523
106,4010,FIRST MIDWEST BANCORP INC,FMBI,-0.27524070384013916,1.0400955231856062,-0.16231569577278723,0.32278297232648046
107,4010,FARMERS NATL BANC CORP/OH,FMNB,-0.15457835722933727,0.8266207196041996,-0.06810434949844256,0.42509475658898893
108,4010,FNCB BANCORP INC,FNCB,-0.21706184127046965,1.3182998262488899,-0.06966540149092235,0.464127424864064
109,4010,FIRST BANCORP INC/ME,FNLC,-0.11818185057874214,0.9155850680804303,-0.020684546552460006,0.26150363038635993
110,4010,FIRST NORTHWEST BANCRP,FNWB,-0.10318108093618283,1.075337898976727,0.01411070053144542,0.31507810389417673
111,4010,FRANKLIN FINANCIAL SVCS CORP,FRAF,-0.2711141138168318,0.7502448945230862,-0.19410359751923567,0.27296932322325484
112,4010,FIRST BANK,FRBA,-0.1329167504106651,0.8929327841186396,-0.0382262205827551,0.5315634358318332
113,4010,REPUBLIC FIRST BANCORP INC,FRBK,-0.30487805587205785,1.0145914069993214,-0.1951131836826022,0.3357143118673446
114,4010,FIRST MERCHANTS CORP,FRME,-0.06276786103358782,0.9798531135645419,0.04269269703581337,0.15156473120957253
115,4010,PRIMIS FINANCIAL CORP,FRST,-0.2251841869183637,1.1669396323638082,-0.09654231897686372,0.28889193523212237
116,4010,FS BANCORP INC,FSBW,-0.10993014659150162,0.9105698455993764,-0.013054263216782144,0.24800856210937355
117,4010,FIRST SEACOAST BANCORP,FSEA,-0.06506633197364292,0.3647281298472501,-0.03582400143414633,0.22528736564564683
118,4010,FIRST SAVINGS FINANCIAL GP,FSFG,-0.010740896710341499,0.45073379189609875,0.029158128472388696,0.21799172724231272
119,4010,FULTON FINANCIAL CORP,FULT,-0.236551986416202,1.0840333962788702,-0.11818277286663284,0.39127546985812833
120,4010,FIRST UNITED CORP,FUNC,-0.34064594190298314,0.49227926891132234,-0.29559914561063394,0.22930030062188456
121,4010,FIRST US BANCSHARES INC,FUSB,-0.23565578678678065,0.45181884455710725,-0.19562231609657177,0.21386955567051527
122,4010,FVCBANKCORP INC,FVCB,-0.15273778178327088,1.0557721410797951,-0.03787033264916523,0.34426228440300216
123,4010,FIRST NATIONAL CORP/VA,FXNC,-0.18824275216575373,0.18568107814559368,-0.18118558608289603,0.3945010146557271
